,image,label,features_pca
0,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/0_100.jpg,Apple Braeburn,"[-29.556702652025393,-25.824017037717745,13.29162273209935,11.223043637821272,-5.444457171968581,7.034740710167864,4.4794117221841105,6.25405291807008,-14.289330871626946,-1.6081284981964394,5.465172817162384,-0.8076523248514091,-7.6813635445850785,-4.717330005911251,1.406962105596514,-0.010463109501185466,3.5159217861345597,-2.015660822159149,3.683146809993791,-0.8780802555717822,1.182883507019497,1.1709673077709093,-0.17703811529848762,4.009146629842836,6.682429526816673,-4.388952551688209,0.7124772935889016,1.883231262912085,-1.7843975543938966,-1.7836670093413647,-5.12923068177506,0.6912773243331974,-2.8445101725525745,0.1866019334348502,-0.5193015918902498,2.6721681760461595,-0.8328165700377927,2.3717392176089422,-1.2065281402786319,0.16716610859463332,-0.04330633083613424,0.9277885022459107,-1.0434736018495558,-3.811983071790813,-0.2557872635152732,0.4576082321137682,-1.1179938235824907,-1.6344230433927687,1.0026451701799843,1.2135167924516739,0.7932817718186392,1.1975176826754905,-0.25751390470259994,-0.37829705961364657,-0.9902987966432641,0.40763640969785525,0.9683430406737721,2.7670696154706973,-0.3772145908070631,0.6305065872000167,0.6512757237036516,0.24000463272503375,-0.37331815601116697,-0.04289385648005404,0.9209178388786278,0.020493388903849434,-0.45899908569793896,1.3934626276290794,1.0325778389013978,-0.08756360889727258,-0.45438154010095744,-0.48572660207028784,-0.3501686246994832,-0.0846848160560725,1.3093781127170963,-0.18857503043512575,-0.40540201022714767,0.7753572122016145,-1.0139545497657803,0.8594158221456064,0.681806093778956,-0.2590750720553462,0.26103701291898496,-1.566761812492701,-1.3484637503151842,0.4824757895443236,1.3973630646543507,-0.39181279558981497,-0.17041104756593486,-0.6506884090163574,1.5178577413425731,1.8070587096838984,-1.9046992481803915,-0.6883551686646188,-2.571710227208206,0.3150471824045404,-0.2531278474937124,-0.8774617564732545,2.227782139799107,0.8917075568971027]"
1,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/100_100.jpg,Apple Braeburn,"[-29.093989648856443,-26.67532642103697,6.61537821330305,10.63378279913488,-1.8589373949245305,10.55004396810572,5.2486075780620185,9.905029890799883,-13.990457812557906,-1.517958374202242,3.822266877411022,-2.137461649089442,-7.265780781544609,-4.072406572423805,-1.8180358046678378,0.589486389453454,10.210254117011777,3.269896659466043,4.683144514711384,1.6639492754746275,1.604515295805896,0.6766903464626467,0.4424058233317289,4.565619581706823,10.645312138829924,-5.440406665526703,4.675418489600967,3.6851085874516225,-3.018475727580794,-2.7244991575293334,-7.478805671924541,-2.182007951188878,-4.209578085112414,-0.16746129009967475,0.09802205475380302,9.368715536073497,-3.0225078652637345,2.679337488995474,0.2947841154201975,1.7155665726242981,-1.4953890948954214,3.0793834779215215,-0.27926916393018386,-2.462531067163808,-0.0026785574335811205,3.14966584086494,-0.9893425727611881,-2.9573659176798235,2.6063654660891378,3.1550911412080174,0.8564208097315568,-0.45013010426806577,0.26854587478216513,-2.342805252379654,-4.576972654261327,1.3745809757946055,1.4149455069853878,2.9030956294304944,-0.2818389263463258,1.688655652655151,0.7360151070223822,0.32953704869632616,0.8642903630866877,-1.0231377106741615,-0.3288809009474948,-1.106783660737742,-2.8515299697413603,1.20802256028579,-1.0877635517567925,1.0184551193549174,1.614670842826374,0.18707145805894995,1.6660358366074786,-0.26573906099636624,-0.7497124112231428,-1.0878767674305965,-0.30883841248980665,-1.3161416677139246,1.239774794443675,-1.593280064095542,0.8557251546912937,-0.10188091283187359,1.4782552884376776,-0.4440440468320168,0.462143251817507,-0.07843008261556682,-0.5189510337204839,0.7956034060793531,-0.33936965054315477,0.22304034562662814,0.045613118556752694,0.5141052274229998,0.8930097713279808,-0.26562986103287783,-0.4068885969829693,0.26808349129521325,-0.1409309962928839,-0.19442608833675942,0.06050859514978228,-1.0456289693434706]"
2,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/101_100.jpg,Apple Braeburn,"[-32.189225022826875,-27.25150382312799,8.772316416387675,11.230910315759202,-3.1710184488952864,9.340384957712784,4.812709340352633,9.760856747548164,-14.809965509456093,-1.6781094315234721,6.31365921900426,-2.233466834018983,-8.406499175152534,-4.114794698062145,-1.870319122209725,0.12797157871267748,11.852609441354096,2.167499108790837,5.516145232331134,2.315245057834251,2.184505591518519,1.544379179406205,0.27552481166406123,5.252564616220852,11.782129346539751,-5.353591411610468,4.664308160325141,3.1041253009880263,-3.840863151205881,-2.037894284458399,-8.562976101958867,-1.7083665712937812,-3.727701840047801,-0.6641141793082846,-0.4334330778845559,10.388798828462415,-3.6962530564095797,2.678203926587359,0.4169829815392412,1.7129048350437386,-1.0923473656368858,3.0363247855637345,-0.43431604550174513,-2.610965539154754,0.08544592039520113,2.4837329049924306,-1.0884428829998816,-2.814153870637537,2.7179065623611574,3.6471865761102986,0.7440106645043947,-1.5907338481893882,0.17138857184770862,-1.7922880297167936,-3.891372129228863,1.5418950672028255,1.9206407287377838,3.5647443492876185,-0.5426630890280163,2.3455505615464958,0.6971162355411343,0.8483769546834141,1.2271753731759394,-1.0850644128759548,-0.20133341485390951,-0.5398940344394003,-2.2378775967728397,1.232314756839255,-0.1069353760212708,1.1585819184136639,1.4750543223337906,-0.7453971484405792,2.5456421017567243,0.1409336197914192,-0.20310729371725303,-0.6564516352098199,-0.5346152366247359,-1.2224941574282124,0.5363341712728122,-1.6314025365831797,-0.2530805341487613,0.04604330069810972,1.9901739256977204,-0.7864895861390174,-0.24313256253687562,0.1712516139217405,-0.1514342644697963,0.8488836843712906,-0.41335732447955814,0.21343407970856276,0.10355923001236138,0.7924168114262228,-0.2508529309167558,-0.49889824465653504,-0.19000029538149577,0.02029171737286472,0.258366172738574,-0.730144867985059,-0.32454334933399126,-0.6742503837222529]"
3,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/102_100.jpg,Apple Braeburn,"[-34.78524425345838,-27.39364285705191,10.614270686251663,12.384530600370386,-3.4165836938583736,8.907633970100319,5.253264691323823,9.353361998143532,-14.793370424571913,-2.0038291372947006,7.368344779874038,-1.7864950055706048,-9.162910232792527,-3.9759136639349606,-1.5151460415928841,-0.38316710977108753,12.700172832959222,1.5672617739373198,6.027266398405839,1.9384974056122104,2.495690502661162,1.1010360514126263,0.09904764215583997,5.8770523809919855,12.372783610448211,-5.137287501029239,4.083109199942653,2.96870211762825,-4.497958399416958,-2.0776872398914383,-8.737384866744708,-1.4795349209967537,-3.815453121210881,0.3276516928049207,-0.19876575854154496,10.34282821195207,-4.150381655290339,2.7748113825137204,0.694095453682017,1.6211276697620303,-1.1383676262141913,2.88424876942494,0.44454501611269903,-1.9948264995429144,0.024864680952766803,2.683066378459155,-1.480668462949696,-3.1868388506870575,2.5732825774809256,3.688946425093988,0.5750917992645086,-1.553214682656096,-0.2069733549127861,-1.1858506846343555,-3.892941611704419,1.864922337052344,1.8914967891938832,3.656503942485654,-0.33547447522095025,2.3599119638888553,0.9003757463672131,1.750035372654296,0.03578724778433569,-0.8514643803350305,0.2785333813497558,-0.2552982857038908,-1.8609102538476927,1.6436440307535103,-0.02076651403777813,1.5184630364737075,1.3994973519815979,-0.9677552967848337,2.305246227658721,0.993084762191013,0.57193187418916,-0.464516723006819,0.13626423074352007,-1.1546687725432758,-0.1288485520485588,-1.627553544176514,0.21471291747541943,-0.46474996278692005,1.4922881610081091,-0.9525637992117729,-0.06236222561214727,-0.04693946980503665,-0.13058125206120977,0.49897379491062344,-0.9077327583746773,-0.760208783693775,-0.19977810605685767,0.48516708101932365,-0.6394814955760098,-0.386542068312315,0.6845925845031446,-0.4962611167396158,0.17797006624846998,-0.843373902032061,-0.340253020376437,-1.2727948607737742]"
4,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/103_100.jpg,Apple Braeburn,"[-33.35203259189087,-27.277022708216958,9.830855895820926,12.158827131465438,-2.906080196803873,9.360055699786306,5.688328123759582,9.88284752121961,-14.18777325699086,-1.3866793715611954,6.465701505944786,-1.8200704673532948,-8.65951345143651,-3.564402569663793,-0.8116810783927118,-0.2559029444277581,12.24725895543381,1.4166048379261327,5.948267290041317,1.8961273530156686,2.358789425547081,1.0481328100134315,0.23940114310568567,6.116751903845007,12.171028136995387,-5.011367769347762,3.9397365238709057,2.7377073054419303,-5.077958763403438,-2.1372045389129215,-8.539412639188269,-1.4103603433281,-3.850445453317223,0.36789852098174647,-0.22169031796475117,9.938154725712417,-3.791576457278818,3.0081272543372775,0.0930540563195178,1.146403480976629,-1.6464616122893838,3.1335007909508708,0.28730670044220696,-1.9538651088366532,-0.04628913739665082,2.8176519950137418,-1.4767274100824381,-3.2951342592387167,2.492231208992694,3.4759778330120232,0.6747160037386662,-1.6130356989083676,0.039680068084739985,-0.8632558351856182,-3.8673181237475243,1.8011130210519504,1.6383778253311712,3.9772991277272935,-0.6689524833056243,1.865728704564273,0.592860015303314,1.731268016538605,-0.018685041661956434,-0.5161594712746712,0.19771461892737105,-0.4154616598427846,-1.992313186864342,1.4760120023274483,-0.04444414449494906,1.2939724257597314,1.3899159536331798,-0.9304002505333125,1.9155846809525776,0.6895184243181027,0.6949853929690947,-0.4566564551559046,0.1862387098334034,-1.3897270509287463,-0.02318811288448134,-1.7111313720109327,0.18648972585451287,-0.5342390539716266,1.2135544390945063,-0.6320205466186276,-0.02767925842621763,0.1936914155566787,-0.07806326629993576,0.41031692830624233,-0.8329224427879759,-0.9886178025843942,-0.09961553605976796,0.24752626762848717,-0.37152948474766506,-0.5953510938791474,0.6290263488037969,-0.14593164623616736,0.1928008199253723,-0.874275003609817,-0.5325076237771831,-1.3787062360033335]"
5,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/104_100.jpg,Apple Braeburn,"[-33.32640037446275,-26.854050510726054,10.322901355988785,12.510949287603514,-3.2230083978693553,9.133881924235046,5.536746913999914,10.186211374873666,-13.615112428137955,-1.0578710958991524,6.680146123763574,-1.6039401135013462,-9.011973525351866,-3.0707244133821363,-0.2370870174527768,-0.03948105144510747,11.489840372711633,1.2807871823837607,5.8327363436773565,1.5054175691522331,2.597963309466595,0.8450258191930342,-0.3097389186312386,5.998956366110675,12.144455295845562,-4.8531634839791975,3.972874936064768,2.865634115538548,-4.909654731828433,-2.4170101553320387,-8.234993890573708,-0.880267497592092,-3.624480060130065,0.10287136173282632,0.13615282446684027,9.763513445045225,-3.899780123585696,3.1695625507238647,0.19896187981822713,0.7040555309189398,-1.4292405794836398,3.080604597538885,0.0925287505428029,-1.6021372770806104,-0.04628185086409431,2.71670148074188,-1.4603770785015437,-3.2042051018480366,2.587497166088605,3.1927353885201835,0.6614359537392657,-1.6557299457056638,0.3200537503323256,-0.60949414670994,-4.010591461355877,1.660041644268338,1.541158021623489,4.14877617628317,-0.655792490739273,1.617742743380252,0.7402794870371375,1.605239781954403,0.17096895200156556,-0.18981392846850803,0.4816313549170865,-0.7056688720861768,-1.6235384009684741,1.3732768751335171,-0.3486722016315657,0.8314871382305354,1.0431277332829263,-1.0803510579576363,1.384047469240954,0.7708561137721668,0.3880777426076149,-0.1843126875546662,0.30159809703658746,-1.0852027487381752,0.027644739247479892,-1.4779976275383342,0.0653400554249182,0.3168555208123375,1.0906547588353395,-0.280365710758762,0.3549158047423874,0.10160342959932626,0.27132369051312905,0.30101040471975143,-0.7535306494938913,-0.8778468618710571,0.07160817161082986,0.06351404284722827,-0.6584747818816069,-0.8386074975033951,0.7682622451754947,-0.543505853605822,0.5521551391243363,-0.4166903556668928,-0.9387517111634053,-0.7945897033840458]"
6,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/105_100.jpg,Apple Braeburn,"[-32.59295090792692,-26.73050216190989,9.696157175803156,12.438111918954675,-3.077889092920731,9.897937739676319,6.204025365586667,10.518019718055761,-13.081529509050386,-0.5164338753782654,5.496798517997699,-1.3979983994145333,-9.19347357963992,-3.23178303716894,0.2008122761371156,-1.0289856596752749,11.131306270911209,1.1982948977845458,5.354303327599572,1.471170702620585,2.597413124069505,0.7403029538444161,-0.8902721240116902,5.539583497314263,12.169888679452468,-5.0693905145758995,3.51646733801271,2.738430083767785,-5.283721350020026,-2.65521191172557,-7.862705467050258,-1.2783392556360282,-3.5098350084426695,0.4312228698968221,0.19582936916909313,9.564270313810066,-2.736489702055889,3.149506375696646,-0.20726775148352627,0.5447373183039738,-1.4464850794422546,3.5678582227528373,0.04881579340362434,-1.4067756634238018,-0.6085447171941298,3.026794246773366,-1.3591097480689738,-2.7088462623870764,2.597124869027204,3.2622205874252574,0.4813521907849048,-1.9020005256104093,0.591604607855105,-0.7907815706448302,-3.52118298028523,1.4419919308478413,1.6447320464118027,4.114691134704211,-0.6717873180961886,1.2550483503742784,0.89286970074723,1.1600948553445516,-0.0017125484110090683,-0.36542836876684465,0.639890241060652,-0.47179684836500396,-1.828163879996574,1.3643434734071829,-0.7016117251357952,0.6943759613036036,1.5397151356504464,-0.6906336447305527,1.4029437647829106,0.712961935501324,0.269889373492276,-0.37135520750788736,0.0009322545407330837,-0.7435718952124774,0.21476260030896338,-1.1531055331946434,0.3451478359617049,0.4957484129652844,1.0206437754119217,-0.39146123674099,0.9446079650554366,0.06669035233023177,0.5316467687558882,0.03404049490156065,-0.35561752362372323,-0.8672714442271118,-0.0750372902547076,0.24051983907442434,-0.6169793120924457,-0.4545624027989639,0.5435578307067358,-0.3677942833633913,0.481389203665255,-0.4742640685557415,-1.0713350312601402,-1.4163559225437636]"
7,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/106_100.jpg,Apple Braeburn,"[-29.326343658048938,-26.879803661695583,6.371591849670594,11.343488933816941,-1.7806732176584052,8.854730848413748,6.636319658823849,8.14041432352233,-14.372772106024382,-1.027061421651044,3.165487071425592,-0.5012677266152802,-5.888833253994594,-4.219409363165218,-1.2492810763273892,0.6977029358714085,9.995215643265825,4.344745159212713,3.8217939484544905,1.529488215176335,1.8729967664086424,1.361701505420777,1.0402917579566664,5.9811319093021265,10.03655139309883,-6.407078984796816,4.631353164598331,2.285217069287709,-4.087478316039303,-1.9852247645220489,-6.432282539663504,-2.0161746861468646,-4.736721987174703,0.10344981160936866,-0.5810520822302327,8.802492202710903,-2.583968885730986,3.116315423725609,0.8507647031502318,2.1680468322998903,-1.7669761723138444,4.869569887333857,0.12333463492224364,-1.699291719524,-1.1822007767444727,2.264510624505246,-0.8326642836231751,-2.7211516180515978,3.503461849018462,3.6172365933755803,0.8433748602501742,-0.7692800746280376,1.0419103048911476,-2.1728578093279425,-3.7197384470772836,0.8453343431452259,0.9934758354916633,2.571071346257691,-1.7587722792887033,1.6609562460257428,1.3600346190408608,0.18023365941047445,0.6182162789123808,0.3121993188969956,-0.618799017502931,-0.9949899145401925,-3.142050669565659,1.5558337147184516,-1.3599325319772797,0.9193125602574798,1.0773114868183735,-0.9891624303772225,0.683219359354286,1.1885132923111619,-0.2145042452210868,-0.2183140242566865,-0.01835321714106515,-1.3567742143571666,0.7481483854045698,-1.2313157541844153,0.9950617937213724,0.8278454231536043,1.8136878514026196,0.039289590926582504,0.8685366286395242,0.39947167860443333,-0.8281381527987521,0.6137244242135648,-0.6899645394708867,0.43032446832438914,0.559897809487629,-0.14818665480163576,-0.1006727356627759,1.3340180121842762,0.4852608237457974,0.38891932953235664,-0.5860936637735122,-0.07348855477621707,-1.326311849825681,-1.0833569327142496]"
8,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/107_100.jpg,Apple Braeburn,"[-30.640554317175233,-27.650116977744098,8.151256902508802,11.925019325627453,-2.816821032750159,8.409306223414266,6.752872820217617,8.383835535267165,-14.592505265663377,-1.221143648823084,5.146747526955715,-0.012206615588432224,-6.230776064544861,-3.990393914439591,-0.33513194101489735,0.89834107721978,10.74034669407224,3.5571087284567886,4.51462319083202,1.4363803528007069,2.2508968939318748,1.938428421728374,1.0902704584967169,6.218705786049408,10.359134060723214,-6.331445483341226,4.829479642433797,1.5619202415506834,-4.226617740471862,-1.4734353278643106,-6.6975323790883685,-2.00214857367761,-4.378612164241809,0.6845704648419161,-1.1077601529948224,8.798625097248605,-2.6171329814282016,3.7738305488962114,0.06328066254703381,1.7840583559585863,-1.3780304050463672,4.846108680466981,-0.32381586677512736,-1.7925160742670951,-1.3771329430418076,1.8428303199716107,-0.9147962207384904,-2.460614954811003,3.0210871174344645,3.4474066189166512,0.9370170567080632,-1.3012818117679474,0.923408434688858,-1.8542744273335814,-3.1186443772113566,1.2418054127236298,0.7384043445124293,2.7788373246848606,-1.5199840585391873,1.5034875552785611,1.2298734998304628,0.7759485805020837,0.6635206835963334,0.5074242583158749,-0.3798742720556286,-0.9936624221312973,-2.7283229120247765,1.4770209627421031,-0.5598413363146237,0.8342072861516944,0.7137287972507543,-0.8748847087525595,0.5787881511688062,1.2831995572239414,0.23122198017767995,-0.056606169586595576,-0.40725058989124596,-1.50195695518897,0.5756789141383372,-1.54365688403124,0.47150554688870433,0.8768397862633692,2.1059508223986945,-0.15022130501726963,0.7115150750450411,0.8629338915437212,-0.4950156939399365,0.16363405545024562,-0.9111508265705286,0.4115687296005346,-0.20530565187927416,0.7592751805537571,-0.7104397321574504,0.854231819305232,0.6210449351550678,-0.0425652637831974,0.24839492679190803,-0.429329214987068,-1.4062029935253004,-0.5821844903030811]"
9,data_sample/fruits_360/Training/data_sample/fruits_360/Training/Apple Braeburn/108_100.jpg,Apple Braeburn,"[-31.50375180694151,-27.946187854921536,9.270874342876406,12.38329211994846,-3.2906821894407927,8.324498940166716,7.921580249519275,8.156195166680753,-13.424667218185256,-0.3836426275009849,5.1579854761331765,0.24622021360911456,-6.386793392294248,-3.5140192111555617,0.29786609081027793,0.48388327116001045,11.1925850638244,3.156249139021188,5.30624369595679,0.881471961813256,2.4184334663646303,2.1409376375880567,0.8200463670479631,6.258987395644,10.589927205132563,-5.8207587442287885,4.561637912090846,1.7819683478328245,-4.8439001422211305,-1.3551161562297127,-6.721290612820277,-1.6705037378974228,-4.178969464269071,1.4546113611248896,-0.786127947472851,8.437683213903114,-2.1661298392014814,3.7892569278497357,-0.03917315843189875,1.4596511635941516,-1.1957386252895412,4.788703256758412,0.056584783062964814,-2.0605831020779792,-1.0864070342607124,1.9094863077375912,-1.1990301217723063,-2.551732469484764,2.800763875257543,3.8146080222623384,1.5117469488573059,-1.2976033801484204,0.9592522047708328,-1.6629006529171735,-2.5077599213266666,1.3650270022509994,0.921959352898617,2.6986682360284884,-1.434668035687936,0.8242660254355925,1.566962559314023,0.9577456321790394,0.24475167810205667,1.0108085619958138,-0.4079051680819947,-1.3614822992451665,-2.942167151925658,1.6982824635293994,-0.4398178482417551,1.0221742519886696,0.6485425738630165,-1.1493599832278296,0.3668532047368983,1.5358818589688477,0.39235123986049436,-0.1422871219038543,-0.013032214082581636,-0.9733659956371208,0.3591746309909042,-1.0866508898169767,0.4536749567736329,1.262595675230994,1.7185503570637062,-0.8368237548955016,0.9141165535683913,0.93498374448112,-0.5832313731815896,-0.09408803664981061,-0.6670147266483482,0.05968499874006779,-0.7214849468878352,1.3467314865058373,-0.46360784063036536,0.9222448836276836,0.935183183493477,-0.07713547176476555,0.13837473429436709,-0.5226230824102795,-1.5132434050718386,-0.776454490645631]"
